number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
35,0.210465469956398,2025-09-04 18:50:15.823719,2025-09-04 18:50:17.878137,0 days 00:00:02.054418,16,0.14175372715758522,1,2.845005826788561e-05,96,COMPLETE
36,0.21545056998729706,2025-09-04 18:50:17.878229,2025-09-04 18:50:19.428984,0 days 00:00:01.550755,32,0.15966574123934563,2,0.0018088828080861064,64,COMPLETE
37,0.1818522870540619,2025-09-04 18:50:19.429075,2025-09-04 18:50:21.811442,0 days 00:00:02.382367,16,0.09204150492687943,2,0.00019882690705527064,112,COMPLETE
38,0.18835076093673705,2025-09-04 18:50:21.811536,2025-09-04 18:50:23.439342,0 days 00:00:01.627806,32,0.09185051237516897,2,0.0006792166476973051,112,COMPLETE
39,0.19569546580314637,2025-09-04 18:50:23.439427,2025-09-04 18:50:25.829641,0 days 00:00:02.390214,16,0.05351681825984607,2,6.7032651018636e-05,112,COMPLETE
40,0.23239973485469817,2025-09-04 18:50:25.829734,2025-09-04 18:50:27.713105,0 days 00:00:01.883371,32,0.12581805382785036,3,0.003056930393379308,96,COMPLETE
41,0.1901744246482849,2025-09-04 18:50:27.713226,2025-09-04 18:50:29.892876,0 days 00:00:02.179650,16,0.1400836853786621,1,0.00017639080032013456,128,COMPLETE
42,0.19406698644161224,2025-09-04 18:50:29.892978,2025-09-04 18:50:31.997203,0 days 00:00:02.104225,16,0.1621921014431822,1,0.00042171391582718784,128,COMPLETE
43,0.18952487111091615,2025-09-04 18:50:31.997292,2025-09-04 18:50:34.389844,0 days 00:00:02.392552,16,0.08485472456915971,2,0.00021978662178449756,128,COMPLETE
44,0.34150806069374084,2025-09-04 18:50:34.389933,2025-09-04 18:50:35.772969,0 days 00:00:01.383036,32,0.1321534927709021,3,0.0005351188618681428,16,COMPLETE
45,0.17628203630447387,2025-09-04 18:50:35.773061,2025-09-04 18:50:37.921517,0 days 00:00:02.148456,16,0.09795497673933926,1,4.660855389927128e-05,128,COMPLETE
46,0.24953241348266603,2025-09-04 18:50:37.921601,2025-09-04 18:50:39.909708,0 days 00:00:01.988107,16,0.10010030213953497,1,4.330710095069684e-05,48,COMPLETE
47,0.2752795606851578,2025-09-04 18:50:39.909794,2025-09-04 18:50:41.591694,0 days 00:00:01.681900,32,0.00017667545541491525,2,1.844793034356093e-05,112,COMPLETE
48,0.2124309539794922,2025-09-04 18:50:41.591796,2025-09-04 18:50:44.287017,0 days 00:00:02.695221,16,0.051450625166538554,3,2.526270697377899e-05,128,COMPLETE
49,0.18312569856643676,2025-09-04 18:50:44.287107,2025-09-04 18:50:45.772019,0 days 00:00:01.484912,32,0.10608332413516589,1,0.0009976159660999952,128,COMPLETE
50,0.5845376372337341,2025-09-04 18:50:45.772103,2025-09-04 18:50:46.548661,0 days 00:00:00.776558,48,0.15135144043206303,1,1.3781795650915876e-05,112,COMPLETE
51,0.1943510115146637,2025-09-04 18:50:46.548752,2025-09-04 18:50:48.653277,0 days 00:00:02.104525,16,0.11907408382693135,1,9.09297410217899e-05,128,COMPLETE
52,0.18868931531906127,2025-09-04 18:50:48.653364,2025-09-04 18:50:51.064470,0 days 00:00:02.411106,16,0.08745542188289988,2,0.0001532281935674202,128,COMPLETE
53,0.17965807616710663,2025-09-04 18:50:51.064564,2025-09-04 18:50:52.535184,0 days 00:00:01.470620,32,0.13478172525016274,1,0.00025745308435471325,128,COMPLETE
54,0.19060314297676087,2025-09-04 18:50:52.535268,2025-09-04 18:50:54.210405,0 days 00:00:01.675137,32,0.15095046525108058,2,0.0006389023669795814,128,COMPLETE
55,0.1902761846780777,2025-09-04 18:50:54.210498,2025-09-04 18:50:55.149075,0 days 00:00:00.938577,48,0.11061650845152171,1,0.0002755320672366065,112,COMPLETE
56,0.18617265522480012,2025-09-04 18:50:55.149181,2025-09-04 18:50:56.637303,0 days 00:00:01.488122,32,0.07782309277704194,1,5.7306363019762196e-05,128,COMPLETE
