fold,epoch,train_loss,val_loss,val_mae,val_r2
1,1,0.5649246940779131,0.4845130145549774,0.4845130443572998,0.46124351024627686
1,2,0.4842280794021695,0.4033721387386322,0.4033721387386322,0.611038327217102
1,3,0.43510591152102446,0.4513181746006012,0.45131823420524597,0.5177085399627686
2,1,0.5789343797883322,0.4791103005409241,0.47911033034324646,0.4600512981414795
2,2,0.4842272158278975,0.4143451452255249,0.4143451750278473,0.58708256483078
2,3,0.44996004257091254,0.3784323036670685,0.37843233346939087,0.6389565467834473
