number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
35,0.18390849828720093,2025-09-12 11:30:12.891689,2025-09-12 11:30:15.844667,0 days 00:00:02.952978,16,0.1009786478596246,4,0.00016950474965326965,128,COMPLETE
36,0.21631875932216643,2025-09-12 11:30:15.844749,2025-09-12 11:30:18.833121,0 days 00:00:02.988372,16,0.08583931530629856,4,0.0005293286080459079,128,COMPLETE
37,0.2000199794769287,2025-09-12 11:30:18.833201,2025-09-12 11:30:22.473982,0 days 00:00:03.640781,16,0.1092716070977418,6,0.00010116186519461443,112,COMPLETE
38,0.18831137716770172,2025-09-12 11:30:22.474067,2025-09-12 11:30:24.281640,0 days 00:00:01.807573,32,0.16201256826907637,3,0.0001916810263011796,112,COMPLETE
39,0.19727669954299926,2025-09-12 11:30:24.281742,2025-09-12 11:30:26.123988,0 days 00:00:01.842246,32,0.1552158908435251,3,0.00020359666998525486,112,COMPLETE
40,0.17652368545532227,2025-09-12 11:30:26.124081,2025-09-12 11:30:27.141147,0 days 00:00:01.017066,112,0.12604700261751844,3,0.0003716039688115914,112,COMPLETE
41,0.17944664657115936,2025-09-12 11:30:27.141234,2025-09-12 11:30:28.153303,0 days 00:00:01.012069,112,0.12856856456133384,3,0.00033638097147671526,112,COMPLETE
42,0.1975547969341278,2025-09-12 11:30:28.153386,2025-09-12 11:30:29.423098,0 days 00:00:01.269712,112,0.1035773228341523,5,0.00032533004629202504,128,COMPLETE
43,0.21199084222316741,2025-09-12 11:30:29.423196,2025-09-12 11:30:30.464762,0 days 00:00:01.041566,112,0.058551291725330676,3,0.0010944288396987462,96,COMPLETE
44,0.18913503587245942,2025-09-12 11:30:30.464842,2025-09-12 11:30:31.580723,0 days 00:00:01.115881,112,0.13450693584452672,4,0.0005911718244366118,112,COMPLETE
45,0.18463778495788574,2025-09-12 11:30:31.580809,2025-09-12 11:30:32.475793,0 days 00:00:00.894984,96,0.06633957760812725,2,0.00037120915968810383,96,COMPLETE
46,0.19393331110477446,2025-09-12 11:30:32.475879,2025-09-12 11:30:33.515790,0 days 00:00:01.039911,128,0.12304197820313767,3,0.0007367623912579365,128,COMPLETE
47,0.23363495767116546,2025-09-12 11:30:33.515883,2025-09-12 11:30:34.743938,0 days 00:00:01.228055,96,0.13916981434798514,5,0.00015277815981558487,112,COMPLETE
48,0.20927611887454986,2025-09-12 11:30:34.744025,2025-09-12 11:30:35.895936,0 days 00:00:01.151911,112,0.07292036089454731,4,0.00023681393066822388,128,COMPLETE
49,0.25152575969696045,2025-09-12 11:30:35.896033,2025-09-12 11:30:36.865991,0 days 00:00:00.969958,80,0.09585300640484445,3,6.525076442663351e-05,96,COMPLETE
50,0.19065097123384475,2025-09-12 11:30:36.866083,2025-09-12 11:30:37.709732,0 days 00:00:00.843649,96,0.03353423620247323,2,0.0015548662478092124,80,COMPLETE
51,0.172605699300766,2025-09-12 11:30:37.709822,2025-09-12 11:30:38.599879,0 days 00:00:00.890057,112,0.07636923398995055,2,0.0003858545803112487,112,COMPLETE
52,0.177078914642334,2025-09-12 11:30:38.599970,2025-09-12 11:30:39.390609,0 days 00:00:00.790639,112,0.12305734427786327,1,0.00039057529036795244,112,COMPLETE
53,0.19249325394630432,2025-09-12 11:30:39.390697,2025-09-12 11:30:40.182587,0 days 00:00:00.791890,112,0.12808986178661577,1,0.00040757498344976705,112,COMPLETE
54,0.1844276964664459,2025-09-12 11:30:40.182667,2025-09-12 11:30:40.955407,0 days 00:00:00.772740,128,0.14797598713755333,1,0.00027006900087068276,112,COMPLETE
55,0.19232551455497743,2025-09-12 11:30:40.955492,2025-09-12 11:30:41.825499,0 days 00:00:00.870007,112,0.1930950962943127,2,0.0007444177586664963,96,COMPLETE
56,0.17183665037155152,2025-09-12 11:30:41.825592,2025-09-12 11:30:42.601860,0 days 00:00:00.776268,128,0.21196482112325618,1,0.00044662477870784773,112,COMPLETE
