number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
35,0.20480360388755797,2025-09-04 18:52:34.328912,2025-09-04 18:52:36.738594,0 days 00:00:02.409682,32,0.18007423418873286,6,0.000536838370825771,112,COMPLETE
36,0.21486631631851197,2025-09-04 18:52:36.738688,2025-09-04 18:52:39.305857,0 days 00:00:02.567169,32,0.07817178768741777,7,0.0005197093460137874,112,COMPLETE
37,0.2151176154613495,2025-09-04 18:52:39.305956,2025-09-04 18:52:43.087215,0 days 00:00:03.781259,16,0.18393478503848346,7,0.00018233222198775302,128,COMPLETE
38,0.20509540140628815,2025-09-04 18:52:43.087314,2025-09-04 18:52:45.489407,0 days 00:00:02.402093,32,0.16947403482341206,6,9.917691563327736e-05,112,COMPLETE
39,0.27303968369960785,2025-09-04 18:52:45.489588,2025-09-04 18:52:48.156843,0 days 00:00:02.667255,32,0.2508556231116228,7,0.00040524715775105795,128,COMPLETE
40,0.17607394754886627,2025-09-04 18:52:48.156930,2025-09-04 18:52:49.530689,0 days 00:00:01.373759,48,0.061944925798901165,6,0.0002455920273332987,112,COMPLETE
41,0.24514781236648558,2025-09-04 18:52:49.530776,2025-09-04 18:52:50.901399,0 days 00:00:01.370623,48,0.06649577035500485,6,0.00025006671889988733,112,COMPLETE
42,0.18752327263355256,2025-09-04 18:52:50.901488,2025-09-04 18:52:51.709966,0 days 00:00:00.808478,48,0.04200974864141236,1,0.0005450774046401978,112,COMPLETE
43,0.20502060353755952,2025-09-04 18:52:51.710053,2025-09-04 18:52:52.489334,0 days 00:00:00.779281,48,0.024130639932809103,1,0.0006951223182981189,96,COMPLETE
44,0.17900291085243225,2025-09-04 18:52:52.489421,2025-09-04 18:52:53.323007,0 days 00:00:00.833586,48,0.04477954690751339,1,9.627794666562668e-05,128,COMPLETE
45,0.17272427380084993,2025-09-04 18:52:53.323096,2025-09-04 18:52:54.129377,0 days 00:00:00.806281,64,0.045393797716566,1,8.297399851085324e-05,128,COMPLETE
46,0.18998445123434066,2025-09-04 18:52:54.129468,2025-09-04 18:52:55.151676,0 days 00:00:01.022208,64,0.05122379029623697,2,8.930333396093712e-05,128,COMPLETE
47,0.27894646525382993,2025-09-04 18:52:55.151765,2025-09-04 18:52:56.118681,0 days 00:00:00.966916,64,0.08025772121474721,2,2.6935423753561777e-05,128,COMPLETE
