number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
35,0.17348792850971223,2025-09-07 00:23:13.324699,2025-09-07 00:23:14.307667,0 days 00:00:00.982968,128,0.0024289840893388648,3,7.57206599722624e-05,112,COMPLETE
36,0.19240629374980928,2025-09-07 00:23:14.307751,2025-09-07 00:23:16.282058,0 days 00:00:01.974307,32,0.006109675898730349,4,9.471948725973751e-05,112,COMPLETE
37,0.20232027173042297,2025-09-07 00:23:16.282142,2025-09-07 00:23:17.238010,0 days 00:00:00.955868,96,0.038067612227964565,3,6.636042822891546e-05,96,COMPLETE
38,0.45791796445846555,2025-09-07 00:23:17.238096,2025-09-07 00:23:18.155711,0 days 00:00:00.917615,112,0.08938689549656986,3,2.636885367886674e-05,80,COMPLETE
39,0.22165528535842896,2025-09-07 00:23:18.155800,2025-09-07 00:23:19.299668,0 days 00:00:01.143868,96,0.12130860389634934,6,0.0002375249505740041,64,COMPLETE
40,0.19179837703704833,2025-09-07 00:23:19.299760,2025-09-07 00:23:22.111962,0 days 00:00:02.812202,16,0.03027698468524287,4,6.960816619373529e-05,112,COMPLETE
41,0.1824676662683487,2025-09-07 00:23:22.112051,2025-09-07 00:23:23.009167,0 days 00:00:00.897116,128,0.1437311931755152,2,0.0001738397773217561,128,COMPLETE
42,0.3832098424434662,2025-09-07 00:23:23.009257,2025-09-07 00:23:23.603152,0 days 00:00:00.593895,128,0.21307794612618358,1,0.00011724732235305279,16,COMPLETE
43,0.18627571165561677,2025-09-07 00:23:23.603231,2025-09-07 00:23:24.496531,0 days 00:00:00.893300,128,0.1810727402675065,2,0.00036401503708948446,128,COMPLETE
44,0.1919002652168274,2025-09-07 00:23:24.496616,2025-09-07 00:23:25.251775,0 days 00:00:00.755159,128,0.2743003406224349,1,0.00011300180382079191,112,COMPLETE
45,0.29881455898284914,2025-09-07 00:23:25.251866,2025-09-07 00:23:26.260456,0 days 00:00:01.008590,112,0.15474228160116463,3,2.5121291977025398e-05,128,COMPLETE
46,0.22511067986488342,2025-09-07 00:23:26.260543,2025-09-07 00:23:27.055949,0 days 00:00:00.795406,128,0.24736797638768704,2,0.00026609453143865543,48,COMPLETE
47,0.34225473999977113,2025-09-07 00:23:27.056030,2025-09-07 00:23:28.144581,0 days 00:00:01.088551,112,0.2989956205184072,4,6.29591353974608e-05,112,COMPLETE
48,0.16548724323511124,2025-09-07 00:23:28.144659,2025-09-07 00:23:28.891061,0 days 00:00:00.746402,128,0.20028173350837777,1,0.0005882505383316024,96,COMPLETE
49,0.17212193161249162,2025-09-07 00:23:28.891142,2025-09-07 00:23:29.750135,0 days 00:00:00.858993,112,0.1978232844850596,2,0.0005657678966010084,96,COMPLETE
